,Brand,Product Name,Sales Volume,Product Category,Rating,Number of Review,Price
83,Pro 6,Pro 6 Bluetooth Wireless Earphone (Black color),10,Headphone,1.0,1,79
84,iKova,3G TWS True Wireless Stereo Bluetooth 5.0 Headphone,20,Headphone,4.0,4,169
85,Xiaomi,Bluetooth Earphone AirDots TWSEJ04LS,40,Headphone,1.5,2,138
86,Sony,AUTHORIZED GOODS Blue WF-SP800N,0,Headphone,0.0,0,1080
87,Turtle Beach,Elite Atlas Aero Wireless Gaming Headset for PC/ Wired for Console or Mobile,0,Headphone,0.0,0,1099
88,Sony,AUTHORIZED GOODS Orange WF-SP800N,0,Headphone,0.0,0,1080
89,Rapoo,多媒體立體聲耳機 電腦 H100-B Headphone,10,Headphone,4.0,1,98
90,Lenovo,LivePods LP40真無線藍牙耳機,30,Headphone,4.5,2,138
91,BUDDYPHONES,BUDDYPHONES INFIGHT KIDS HEADPHONES - BLUE,300,Headphone,4.4,26,199
92,MARSHALL,Major III Bluetooth Wireless On-Ear Headphones (Parallel Import) (White),20,Headphone,1.0,1,688
93,JBL,"(white) JBL T500BT Wireless On-Ear Heaphone Pure bass, hands-free calling, lightweight and comfortable, foldable earphones, easy to carry 無線耳筒式耳機",0,Headphone,0.0,0,390
94,Lenovo,QT81 True wireless bluetooth headset Black【parallel goods】,10,Headphone,5.0,2,298
95,JBL,CLUB 700BT Wireless On-Ear Headphones,0,Headphone,0.0,0,1098
96,BUDDYPHONES,BUDDYPHONES WAVE WATERPROOF KIDS WIRELESS HEADPHONES - BLUE ROBOT,40,Headphone,4.5,2,539
97,JBL,JBL T700BT WL OVER-EAR HEADPHONE (BLUE),0,Headphone,0.0,0,588
98,JBL,Tune 500BT Bluetooth Wireless Pure Bass Sound On ear Headphone Blue,30,Headphone,4.6,3,399
99,hoco,M1 Pro  Wired earphones Type-C “M1 Pro Original series” with mic,40,Headphone,1.0,1,55
100,mojoburst,Mojo Air 2 | TWS [Ture Wireless] In Ear Bluetooth Earphones - BLACK [Authorized Goods],40,Headphone,4.0,7,219
101,NICHECK,Nicehck NX7 MK3 third generation 0.78mm 2Pin advanced moving iron 7 unit 3.5mm Earphone,0,Headphone,5.0,1,999
102,SENNHEISER,HD 450BT AAC AptX Wireless Bluetooth Headphone White,0,Headphone,4.0,1,999
103,JVC,HA-F160-B Wired Earphone - Black [Authorized Goods],0,Headphone,0.0,0,58
104,NAKAMICHI,NAKAMICHI -LIVE TW100NC Active Noise Cancellation True Wireless Earphones,0,Headphone,0.0,0,699
105,Creative,Aurvana Trio Audiophile In-Ear Headphones with Hybrid Triple Drivers (1 Year Warranty),0,Headphone,0.0,0,880
106,JBL,"(WHITE)TUNE 660NC Wireless, on-ear, active noise-cancelling headphones.",0,Headphone,0.0,0,748
107,WavLink,Bluetooth Audio Receiver to Line-out 3.5mm Wireless Hands-Free Adapter 10 hrs BT4101 1 Year Warranty,40,Headphone,1.0,1,88
108,SPARROW KIDS,KIDS SAFE HEADPHONES - POMPOMPURIN,0,Headphone,0.0,0,135
109,JBL,Tune 750BTNC Bluetooth Wireless Noise Canceling Headphones White,0,Headphone,0.0,0,949
110,MONSTER,聯乘 Remax 金屬有綫耳機 RM-598,10,Headphone,5.0,1,88
111,SOUNDPEATS,SOUNDPEATS SONIC bluetooth 5.2 true wireless bluetooth headset,0,Headphone,0.0,0,249
112,iXchange,Hybrid Active Noise Cancelling Bluetooth Headphone,0,Headphone,0.0,0,850
113,Sony,SONY HEADPHONE MDR-ZX110 WHITE [Authorized Goods],20,Headphone,5.0,2,168
114,EasyRing,NUBWO N12 Gaming Headphones,10,Headphone,4.0,1,98
115,CHEERO,TouchBone Bone conduction wireless earphone (Bluetooth 5.0 / CVC8.0 / Qualcomm QCC3003 ) - WHT,10,Headphone,4.0,2,399
116,AfterShokz,AfterShokz OpenMove AS660 Grey,0,Headphone,0.0,0,699
117,Samsung,Galaxy Buds Live Noise Cancellation Wireless Headphones (R180) - 3 Colors (Parallel import),0,Headphone,0.0,0,799
118,MONSTER,MONSTER - Clarity 550 LT MEMS MIC 13mm True Wireless Earphone-WHITE,0,Headphone,0.0,0,718
119,Lenovo ,Lenovo wired headset HF130 (Black),10,Headphone,0.0,0,79
120,Logitech,H800 WIRELESS HEADSET (981-000339),20,Headphone,5.0,2,829
121,Sony,AUTHORIZED GOODS WI-SP510 Black,0,Headphone,0.0,0,648
122,SOUL,Soul Emotion 2 高性能真無線藍牙耳機 黑色 入耳式 藍芽耳機 Bluetooth 5.0 Handfree Earphone Earbud,20,Headphone,4.0,1,328
123,JBL,Tune 220TWS Wireless In-Ear Headphone Black 050036365406,0,Headphone,5.0,1,780
124,UiiSii,U6 (BLACK) 3.5mm earphone 有線耳機,10,Headphone,1.0,1,62
125,UiiSii,U6 (WHITE) 3.5mm earphone 有線耳機,0,Headphone,0.0,0,62
126,Verbatim,Bluetooth 5.0 true wireless Earphone flat ear 66619 White,0,Headphone,0.0,0,158
127,JLab Audio,Epic Air ANC ios/android app noise reduction true wireless bluetooth TWS Earphone,0,Headphone,0.0,0,850
128,Earin,Earin M2 Black,30,Headphone,5.0,2,798
129,JBL,TUNE 750BTNC Noise-Canceling Wireless Over-Ear Headphones (Blue) (Parallel Imported),0,Headphone,0.0,0,670
130,MONSTER,Monster Turbine Lite Airlinks 真藍芽無線耳機-BLACK,0,Headphone,0.0,0,699
131,AUDIO TECHNICA,M30X PROFESSIONAL MONITOR HEADPHONES,20,Headphone,4.5,2,590
132,iGlobalStore,"Bluetooth Eye Mask Headphones, 3D Wireless Sleepphones Sleeping Travel Music Eye Cover with Ultra-Th",20,Headphone,4.0,1,298
133,Logitech,Logitech H111 STEREO HEADSET,50,Headphone,4.0,1,138
134,Defunc,瑞典 TRUE GAMING 真無線模擬環回立體聲耳機 黑色,0,Headphone,0.0,0,758
135,Logitech,H600 WIRELESS HEADSET (981-000343) 【HK Official Supplier Warranty】,60,Headphone,4.5,2,499
136,JBL,Tune 660NC ANC On-Ear Wireless Headphone,0,Headphone,0.0,0,749
137,Turtle Beach,Recon Spark eSport Headset[White & Lavender],10,Headphone,0.0,0,389
138,Sony,SONY HEADPHONE MDR-ZX110 PINK [Authorized Goods],20,Headphone,0.0,0,168
139,REMAX,"(Black) REMAX RB-S33 Headphone Bone Conduction (17.5 *14.5*6cm) Bone Conduction Concept Earphone, Wireless Earphone, Sports Earphone, Portable Earphone, Bluetooth Earphone, Hanging Ear",0,Headphone,0.0,0,176
140,BUDDYPHONES,BUDDYPHONES PLAY KIDS WIRELESS HEADPHONES - AMAZON GREEN,100,Headphone,3.5,14,319
141,JBL,[HK official] JBL by HARMAN Tune 500BT Pure Bass,10,Headphone,0.0,0,390
142,iKova,TWS True Wireless Bluetooth V 5.0 Earphone,300,Headphone,4.0,32,129
143,MOMAX,PILLS Lite2 True Wireless Bluetooth® Earbuds (Black) BT2AD,0,Headphone,0.0,0,298
144,Mcbazel,Waterproof  Wireless Bluetooth 5.0 Earbuds with LED Display for iPhone/Android/PC/Laptop - White,0,Headphone,0.0,0,80
145,Verbatim,Bluetooth 5.0 true wireless Earphone flat ear 66621 Green,0,Headphone,0.0,0,158
146,QCY,QCY T1C Bluetooth Earphones,20,Headphone,1.0,1,138
147,URBANEARS,ALBY TRUE WIRELESS IN-EAR HEADPHONES-CHARCOAL BLACK(UE-95522),0,Headphone,0.0,0,499
148,Defunc,瑞典 Defunc True Gaming 獨特模擬360°環迴音效低延遲真無線耳機 - 白色,0,Headphone,0.0,0,497
149,JBL,JBL T700 Pure Bass Wireless Headset Black (Parallel import),0,Headphone,4.0,1,500
150,JBL,"(Deep Blue) JBL T500BT Wireless On-Ear Heaphone Pure bass, hands-free calling, lightweight and comfortable, foldable earphones, easy to carry 無線耳筒式耳機",0,Headphone,0.0,0,390
151,Logitech,H110 Stereo Headset,0,Headphone,0.0,0,98
152,Amazfit,"PowerBuds True Wireless Sports Earbuds, White",0,Headphone,0.0,0,498
153,Radarcan,R-105Household cockroaches and mouse control Exterminator,0,Headphone,0.0,0,355
154,iGlobalStore,"Bluetooth Sleep Headphones, Sleeping Headphones with Bluetooth Headband for Working Out, Exercising,",10,Headphone,0.0,0,268
155,Verbatim,(Black) Verbatim(66618) Flat 5.0 TWS Earphone Flat ear type True wireless earphone Flat ear design Comfortable to wear Professional Hi-Fi sound quality adjustment Clear and delicate sound quality,0,Headphone,0.0,0,138
156,Hedonic,Gen 2 Tiny True Wireless 5.0 Earphone Black Truewireless headphone Apple Samsung Android,10,Headphone,0.0,0,198
157,1MORE,Comfobuds True Wireless Headphone 半入耳真無線藍牙耳機 白色,0,Headphone,0.0,0,423
158,Sabbat,(Advanced Stone) Magic Banquet Sabbat E12 Ultra True Wireless Bluetooth Headset Qualcomm True Wireless Bluetooth Headset Bluetooth 5.0 Original licensed 1 year warranty,0,Headphone,0.0,0,425
